Chart_type,mean,sd,se,ci_lo,ci_hi,n
100% Stacked Bar chart,22.222222222222218,19.245008972987524,11.11111111111111,-25.588888888888892,70.03333333333333,3
AreaChart,16.666666666666668,14.433756729740645,8.333333333333334,-19.191666666666666,52.525000000000006,3
Bar chart,8.333333333333334,14.433756729740644,8.333333333333334,-27.525,44.19166666666667,3
BubbleChart,28.57142857142857,28.57142857142857,16.49572197684645,-42.409663094941706,99.55252023779884,3
Histogram,44.444444444444436,38.49001794597505,22.22222222222222,-51.177777777777784,140.06666666666666,3
Line chart,13.333333333333334,11.547005383792516,6.666666666666668,-15.353333333333337,42.02,3
Map,77.77777777777777,19.24500897298753,11.111111111111114,29.966666666666647,125.5888888888889,3
Pie chart,11.111111111111109,19.245008972987524,11.11111111111111,-36.7,58.92222222222222,3
Scatterplot,19.047619047619047,8.247860988423225,4.761904761904762,-1.442857142857143,39.53809523809524,3
Stacked Bar chart,20.0,20.0,11.547005383792516,-29.6867641664592,69.6867641664592,3
StackedAreaChart,33.333333333333336,16.666666666666668,9.622504486493764,-8.072303472049327,74.738970138716,3
Treemap,44.444444444444436,38.49001794597505,22.22222222222222,-51.177777777777784,140.06666666666666,3
