Misleader,mean,sd,se,ci_lo,ci_hi,n
Cherry Picking,50.0,50.0,28.86751345948129,-74.216910416148,174.21691041614798,3
Concealed Uncertainty,77.77777777777777,38.490017945975055,22.222222222222225,-17.844444444444463,173.4,3
Inappropriate Aggregation,33.333333333333336,16.666666666666668,9.622504486493764,-8.072303472049327,74.738970138716,3
Manipulation of Scales - Inappropriate Order,40.0,0.0,0.0,40.0,40.0,3
Manipulation of Scales - Inappropriate Scale Range,50.0,12.5,7.216878364870323,18.945772395963,81.054227604037,3
Manipulation of Scales - Inappropriate Use of Scale Functions,33.333333333333336,14.433756729740644,8.333333333333334,-2.5249999999999986,69.19166666666666,3
Manipulation of Scales - Unconventional Scale Directions,30.0,10.0,5.773502691896258,5.156617916770401,54.8433820832296,3
Misleading Annotation,22.222222222222218,19.245008972987524,11.11111111111111,-25.588888888888892,70.03333333333333,3
Misleading Annotations,33.333333333333336,57.735026918962575,33.333333333333336,-110.1,176.76666666666668,3
Missing Data,33.333333333333336,57.735026918962575,33.333333333333336,-110.1,176.76666666666668,3
Missing Normalization,66.66666666666667,57.73502691896258,33.333333333333336,-76.76666666666667,210.10000000000002,3
Overplotting,66.66666666666667,57.73502691896258,33.333333333333336,-76.76666666666667,210.10000000000002,3
