Misleader,mean,sd,se,ci_lo,ci_hi,n
Cherry Picking,0.0,0.0,0.0,0.0,0.0,3
Concealed Uncertainty,100.0,0.0,0.0,100.0,100.0,3
Inappropriate Aggregation,0.0,0.0,0.0,0.0,0.0,3
Manipulation of Scales - Inappropriate Order,60.0,0.0,0.0,60.0,60.0,3
Manipulation of Scales - Inappropriate Scale Range,12.5,0.0,0.0,12.5,12.5,3
Manipulation of Scales - Inappropriate Use of Scale Functions,0.0,0.0,0.0,0.0,0.0,3
Manipulation of Scales - Unconventional Scale Directions,20.0,0.0,0.0,20.0,20.0,3
Misleading Annotation,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,3
Misleading Annotations,0.0,0.0,0.0,0.0,0.0,3
Missing Data,0.0,0.0,0.0,0.0,0.0,3
Missing Normalization,0.0,0.0,0.0,0.0,0.0,3
Overplotting,0.0,0.0,0.0,0.0,0.0,3
