Chart_type,mean,sd,se,ci_lo,ci_hi,n
100% Stacked Bar chart,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,3
AreaChart,25.0,0.0,0.0,25.0,25.0,3
Bar chart,33.333333333333336,14.433756729740644,8.333333333333334,-2.5249999999999986,69.19166666666666,3
BubbleChart,85.71428571428571,0.0,0.0,85.71428571428571,85.71428571428571,3
Histogram,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,3
Line chart,40.0,0.0,0.0,40.0,40.0,3
Map,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,3
Pie chart,0.0,0.0,0.0,0.0,0.0,3
Scatterplot,57.14285714285714,0.0,0.0,57.14285714285714,57.14285714285714,3
Stacked Bar chart,20.0,0.0,0.0,20.0,20.0,3
StackedAreaChart,38.888888888888886,9.622504486493765,5.555555555555557,14.983333333333324,62.79444444444445,3
Treemap,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,3
