Task,mean,sd,se,ci_lo,ci_hi,n
Determine Range,20.0,20.0,11.547005383792516,-29.6867641664592,69.6867641664592,3
Find Anomalies,0.0,0.0,0.0,0.0,0.0,3
Find Clusters,0.0,0.0,0.0,0.0,0.0,3
Find Correlations/Trends,58.333333333333336,14.433756729740644,8.333333333333334,22.475,94.19166666666666,3
Find Extremum,33.333333333333336,7.216878364870322,4.166666666666667,15.404166666666669,51.2625,3
Find Extremum (derived value),0.0,0.0,0.0,0.0,0.0,3
Find Extremum (relative value),22.222222222222218,19.245008972987524,11.11111111111111,-25.588888888888892,70.03333333333333,3
Identify the Hierarchical Structure,0.0,0.0,0.0,0.0,0.0,3
Make Comparisons,33.333333333333336,14.433756729740644,8.333333333333334,-2.5249999999999986,69.19166666666666,3
Make Comparisons (absolute value),33.333333333333336,28.867513459481287,16.666666666666668,-38.38333333333333,105.05000000000001,3
Make Comparisons (derived value),33.33333333333333,33.33333333333333,19.245008972987524,-49.47794027743198,116.14460694409864,3
Make Comparisons (relative value),40.0,0.0,0.0,40.0,40.0,3
Retrieve Value,11.111111111111109,9.622504486493762,5.555555555555555,-12.794444444444446,35.016666666666666,3
Retrieve Value (absolute value),0.0,0.0,0.0,0.0,0.0,3
Retrieve Value (derived value),66.66666666666667,57.73502691896258,33.333333333333336,-76.76666666666667,210.10000000000002,3
Retrieve Value (relative value),25.0,25.0,14.433756729740645,-37.108455208074,87.10845520807399,3
