Chart_type,mean,sd,se,ci_lo,ci_hi,n
100% Stacked Bar chart,44.444444444444436,19.245008972987524,11.11111111111111,-3.3666666666666742,92.25555555555555,3
AreaChart,50.0,0.0,0.0,50.0,50.0,3
Bar chart,25.0,0.0,0.0,25.0,25.0,3
BubbleChart,57.14285714285714,0.0,0.0,57.14285714285714,57.14285714285714,3
Histogram,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,3
Line chart,66.66666666666667,11.547005383792516,6.666666666666668,37.980000000000004,95.35333333333334,3
Map,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,3
Pie chart,0.0,0.0,0.0,0.0,0.0,3
Scatterplot,28.57142857142857,0.0,0.0,28.57142857142857,28.57142857142857,3
Stacked Bar chart,26.666666666666668,11.547005383792515,6.666666666666667,-2.0199999999999996,55.35333333333334,3
StackedAreaChart,61.11111111111111,9.622504486493757,5.555555555555553,37.20555555555556,85.01666666666665,3
Treemap,100.0,0.0,0.0,100.0,100.0,3
